,0,1,2,3,4,5,6,7,8,9,10,11,12
59,60.0,18098.0,-5887.0,30.78,474.0,108.0,486.148,0.0020569867612332047,19031.405,0.026,107.98,-0.03,-0.01
60,61.0,18322.0,-5352.0,30.84,343.0,96.0,356.181,0.002807561324158223,19087.682,0.019,106.25,-0.0,0.02
61,62.0,18472.0,-4980.0,30.75,82.0,28.0,86.649,0.01154081408902584,19131.523,0.005,105.05,0.0,0.0
62,63.0,18518.0,-4533.0,30.81,50.0,12.0,51.42,0.019447685725398678,19064.743,0.003,103.72,0.0,-0.0
63,64.0,18605.0,-4141.0,30.78,-6.0,0.0,6.0,0.16666666666666666,19060.27,0.0,102.51,-0.0,-0.0
64,65.0,18613.0,-3726.0,30.81,-1.0,-5.0,5.099,0.19611688566385566,18982.277,0.0,101.28,-0.0,0.0
65,66.0,18698.0,-3341.0,30.81,-3.0,1.0,3.162,0.3162555344718533,18994.143,0.0,100.09,-0.0,0.0
66,67.0,18815.0,-2901.0,30.75,1.0,0.0,1.0,1.0,19037.332,0.0,98.72,0.0,0.0
67,68.0,18824.0,-2452.0,30.88,-3.0,0.0,3.0,0.3333333333333333,18983.026,0.0,97.38,0.0,-0.0
68,69.0,18852.0,-1937.0,30.81,9.0,-2.0,9.22,0.10845986984815617,18951.25,0.0,95.82,-0.0,-0.0
69,70.0,18844.0,-1572.0,30.78,-4.0,1.0,4.123,0.24254183846713556,18909.456,0.0,94.73,-0.0,0.0
70,71.0,18880.0,-1194.0,30.81,-1.0,-3.0,3.162,0.3162555344718533,18917.718,0.0,93.57,0.0,0.0
71,72.0,18940.0,-767.0,30.84,-9.0,3.0,9.487,0.10540739959945188,18955.524,0.001,92.27,0.0,0.0
72,73.0,18875.0,-359.0,30.84,-2.0,-1.0,2.236,0.44722719141323786,18878.414,0.0,91.04,0.0,-0.0
73,74.0,18837.0,44.0,30.91,-1.0,0.0,1.0,1.0,18837.051,0.0,89.91,-0.0,0.0
74,75.0,18735.0,344.0,30.81,-2.0,-1.0,2.236,0.44722719141323786,18738.158,0.0,88.99,0.0,0.0
75,76.0,18801.0,877.0,30.84,-1.0,0.0,1.0,1.0,18821.443,0.0,87.37,0.0,-0.0
76,77.0,18807.0,2040.0,30.94,-1.0,2.0,2.236,0.44722719141323786,18917.316,0.0,83.85,-0.0,0.0
77,78.0,18657.0,1699.0,30.78,0.0,0.0,0.0,1.0,18734.2,0.0,84.84,-0.0,-0.0
78,79.0,18627.0,2107.0,30.81,0.0,0.0,0.0,1.0,18745.788,0.0,83.59,-0.0,0.0
79,80.0,18468.0,2724.0,30.81,13.0,3.0,13.342,0.0749512816669165,18667.812,0.001,81.65,0.0,-0.0
80,81.0,18498.0,2904.0,30.94,3.0,-2.0,3.606,0.27731558513588467,18724.562,0.0,81.12,0.0,-0.0
81,82.0,18414.0,3302.0,30.84,-2.0,-1.0,2.236,0.44722719141323786,18707.715,0.0,79.87,-0.0,-0.0
82,83.0,18234.0,3664.0,30.75,6.0,-1.0,6.083,0.1643925694558606,18598.485,0.0,78.68,-0.0,-0.0
83,84.0,18202.0,4064.0,30.84,-2.0,-1.0,2.236,0.44722719141323786,18650.172,0.0,77.45,-0.0,0.0
84,85.0,18131.0,4431.0,30.88,0.0,2.0,2.0,0.5,18664.59,0.0,76.31,0.0,0.0
85,86.0,17901.0,4787.0,30.84,-3.0,2.0,3.606,0.27731558513588467,18530.007,0.0,75.07,0.0,-0.0
86,87.0,17795.0,5298.0,30.94,-3.0,-8.0,8.544,0.11704119850187265,18566.928,0.0,73.46,-0.0,-0.0
87,88.0,17754.0,5558.0,30.88,-1.0,1.0,1.414,0.7072135785007072,18603.652,0.0,72.65,-0.0,-0.0
88,89.0,17507.0,5914.0,30.88,-1.0,1.0,1.414,0.7072135785007072,18478.919,0.0,71.37,-0.0,0.0
89,90.0,17315.0,6287.0,30.88,0.0,1.0,1.0,1.0,18421.064,0.0,70.08,0.0,0.0
90,91.0,17083.0,7565.0,30.88,0.0,-5.0,5.0,0.2,18683.097,0.0,66.15,-0.0,-0.0
